classe_ancien;Classe_ancien_value;Classe_new;Condition;valeur_condition;Attribut_ancien;Attribut_new;Attribut_supp
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;1;ID_ZONE;idzonereglementaire;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;1;CODEZONE;codezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;1;NOM;libellezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;1;TYPEREG;typereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;1;;;obligationtravaux
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;1;GEOMETRY;geom;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;ID_ZONE;idzonereglementaire;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;CODEZONE;codezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;NOM;libellezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;TYPEREG;typereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;;;obligationtravaux
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;2;GEOMETRY;geom;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;ID_ZONE;idzonereglementaire;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;CODEZONE;codezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;NOM;libellezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;TYPEREG;typereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;;;obligationtravaux
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;3;GEOMETRY;geom;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;ID_ZONE;idzonereglementaire;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;CODEZONE;codezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;NOM;libellezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;TYPEREG;typereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;;;obligationtravaux
fme_feature_type;n_zone_reg_pprn_;zonereglementaireurba;TYPEREG;4;GEOMETRY;geom;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;5;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;5;ID_ZONE;idzonereglementaire;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;5;CODEZONE;codezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;5;NOM;libellezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;5;TYPEREG;typereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;5;GEOMETRY;geom;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;6;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;6;ID_ZONE;idzonereglementaire;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;6;CODEZONE;codezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;6;NOM;libellezonereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;6;TYPEREG;typereglement;
fme_feature_type;n_zone_reg_pprn_;zonereglementairefoncier;TYPEREG;6;GEOMETRY;geom;
fme_feature_type;n_enjeu_pprn_;enjeu;;;ID_GASPAR;codeprocedure;
fme_feature_type;n_enjeu_pprn_;enjeu;;;ID_MAP;idenjeu;
fme_feature_type;n_enjeu_pprn_;enjeu;;;;;idrefexterne
fme_feature_type;n_enjeu_pprn_;enjeu;;;;;refexterne
fme_feature_type;n_enjeu_pprn_;enjeu;;;DESCRIPTION;nomenjeu;
fme_feature_type;n_enjeu_pprn_;enjeu;;;;;typeenjeu
fme_feature_type;n_enjeu_pprn_;enjeu;;;;;vulnerabilite
fme_feature_type;n_enjeu_pprn_;enjeu;;;IDENTANNEE;dateenjeu;
fme_feature_type;n_enjeu_pprn_;enjeu;;;CATEGORIE;codeenjeu;
fme_feature_type;n_enjeu_pprn_;enjeu;;;;;nomenclatureenjeu
