"Dictionnaire Geostandards Risques",,,,,,,,,
"- Les tables commençant dont le nom commencent par ""Type"" sont des tables décrivant les types énumérés (""code"", ""libellé"").
- Les attributs indiqués en gras constituent la clef primaire de la table (plusieurs attributs peuvent être mobilisés)
",,,,,,,,,
,,,,,,,,,
ZoneProtégée,"La classe Zone Protégée permet de décrire les zones protégées par un ouvrage de protection (OuvrageProtection) lorsque le niveau de protection de ce dernier est au moins égal à l'aléa de référence. Ces zones sont superposables aux zones d'aléas. Elles sont caractérisées par le type d'aléa (TypeAlea), un niveau de protection et une période de retour relatifs à l'ouvrage de protection.",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
idZoneProtégée,CharacterString,"Identifiant de la zone alea protégée",,,,,,,
codeProcedure,CharacterString,"Identifiant de la procédure dans GASPAR",44DDTM20110017,n_document_pprn_s_xxx,ID_GASPAR,,,,
typeAlea,"TypeAlea (CharacterString)","Type de l'aléa selon la nomenclature GASPAR",112,n_zone_alea_pprn_x_xxx,coderisque,,,,
occurence,CharacterString,"ce champ permet d'indiquer l'occurence de survenue de l'aléa. Selon son type, il pourra s'agir d'une probabilité (par exemple période de retour) ou d'un autre indicateur à définir dans les profils applicatifs (la période de retour est conditionnée à la hauteur du niveau de protection).",Q100,N/A,N/A,,,,
description,CharacterString,"Description de l'aléa",N/A,n_zone_alea_pprn_x_xxx,descript,,,,
niveauProtection,CharacterString,"(Article Article R214-119-1 code de l'environnement) Pour un système d'endiguement au sens de l'article R. 562-13, le niveau de protection d'une zone exposée au risque d'inondation ou de submersion marine est déterminé par la hauteur maximale que peut atteindre l'eau sans que cette zone soit inondée en raison du débordement, du contournement ou de la rupture des ouvrages de protection quand l'inondation provient directement du cours d'eau ou de la mer. Lorsque la taille et les caractéristiques de la zone exposée le justifient, plusieurs niveaux de protection peuvent être déterminés, chacun étant associé à une partie délimitée de la zone protégée.",,,,,,,
geometrie,"Geometry (MultiPolygon)","Multipolygone mais restreint à la géométrie la plus élémentaire de l'aléa",N/A,n_zone_alea_pprn_x_xxx,geom,,,,
,,,,,,,,,
,,,,,,,,,
ZoneDangerSpecifique,"La classe Zone de danger spécifique permet de représenter des zones de danger particulières superposables aux zones d'aléas. Ces zones de danger particulières peuvent être de deux types : les bandes de précaution à l'arrière des systèmes d'endiguement et les bandes particulières liées aux chocs mécaniques des vagues et projection des matériaux telles que définies dans le Decret PPRI:2019 et le Guide PPRL:2014. Elles sont aussi caractérisées par le type d'aléa (TypeAlea) et son niveau (TypeNiveauAlea) et rattachées à une procédure donnée. Elles peuvent être aussi liées à un ouvrage de protection (OuvrageProtection), notamment lorsqu'il sagit d'une bande de protection.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
idZoneDanger,CharacterString,"Identifiant unique d'un objet zone de danger spécifique",,,,,,,
codeProcedure,CharacterString,"Identifiant de la procédure pour laquelle la zone de danger spécifique a été calculée. Ce champ permet de faire le lien avec l'objet correspondant de la classe Procedure",44DDTM20110017,n_document_pprn_s_xxx,ID_GASPAR,,,,
typeAlea,"TypeAlea (CharacterString)","Type de l'alea associé à la zone de danger spécifique, selon la nomenclature définie dans GASPAR et reprise par l'énumération TypeAlea",112,n_zone_alea_pprn_x_xxx,coderisque,,,,
description,CharacterString,"Description textuelle de la zone de danger spécifique",N/A,n_zone_alea_pprn_x_xxx,descript,,,,
niveauAlea,"TypeNiveauAlea (CharacterString)","Caractérisation du niveau de l'aléa selon la classification définie dans GASPAR et reprise par l'énumération TypeNiveauAlea. D'après le Decret PPRi:2019 : pour les bandes de précautions, le niveau d'aléa est systématiquement ""Très fort"". Pour les bandes particulières, il est classé en zone d’aléa de référence modéré à très fort, en fonction de l’intensité du phénomène",01,n_zone_alea_pprn_x_xxx,nivalea_st,,,,
typeSuralea,"TypeSuralea (CharacterString)","Ce champ permet d'indiquer le type de zone de danger spécifique.",01,,,,,,
geometrie,"Geometry (MultiPolygon)","Multipolygone mais restreint à la géométrie la plus élémentaire de l'aléa",N/A,n_zone_alea_pprn_x_xxx,geom,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ElementCaractérisationAlea,"La classe Element de caractérisation d'aléa est une classe générique (abstraite) qui permet de lier des objets spécifiques (issus d'études hydrauliques par exemple) ayant permis de définir une zone d'aléa. Elle a vocation à être spécialisée en fonction de l'application de ce modèle.",,,,,,,,
"Classe générique ",,,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
idZoneAlea,CharacterString,"Identifiant de la zone alea liée",RNATA000000000607190,,,,,,
,,,,,,,,,
,,,,,,,,,
"OuvrageProtection ","La classe Ouvrage de protection permet de faire état des ouvrages de protection contre les aléas (par exemple des digues en prévention des risques d'inondation). La modélisation de ces ouvrages est décrite dans d'autres référentiels tels que le Référentiel des Obstacles à l'Ecoulement ou le Système d'Information sur les Ouvrages Hydrauliques (SIOuH), cette classe permet de faire le lien avec des objets qui en sont issus.",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
"idRefExterne ",CharacterString,"Identifiant de l'objet dans le référentiel externe d'où il est extrait.  Le formalisme de l'identifiant est déterminé par les spécifications du référentiel externe",,,,,,,
"refExterne ",TypeRefExterneProtection,"Référentiel externe d'où est extrait l'objet",,,,,,,
refExterneAutre,CharacterString,"Nom du référentiel externe d'où est extrait l'objet si la valeur ""autre"" a été renseignée pour le champ refExterne.  La valeur doit désigner de manière non ambigue un nom et une version du référentiel utilisé. Saisie obligatoire si la valeur ""autre"" est renseignée pour refExterne. ",,,,,,,
typeOuvrageProtection,CharacterString," Désignation du type d'ouvrage que représente cet objet. Saisie libre, cependant o n veillera à s'appuyer sur des nomenclatures existantes, notamment celles des référentiels dont sont issus les objets.",,,,,,,
geometrie,"Geometry ","géométrie de l'ouvrage de protection ",,,,,,,
,,,,,,,,,
,,,,,,,,,
TypeEtatProcedure,,,,,,,,,
"Reprise des codes GASPAR pour les sous-états",,,,,,,,,
code,Libellé,,,,,,,,
DEB_PRG,"Début programmation",,,,,,,,
FIN_PRG,"Fin programmation",,,,,,,,
DEB_MTG,"Début montage",,,,,,,,
FIN_MTG,"Fin montage",,,,,,,,
PRESCRIT,Prescrit,,,,,,,,
PAC,"Porté à connaissance","Nb : GASPAR à aligner ?",,,,,,,
PROROGE,Prorogé,,,,,,,,
ANTICIPE,Anticipé,,,,,,,,
DEPRESCRIT,Déprescrit,,,,,,,,
APPROUVE,Approuvé,,,,,,,,
ANNULE,Annulé,,,,,,,,
ABROGE,Abrogé,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TypeProcedure,,,,,,,,,
"Reprise des codes GASPAR pour les types de procédures",,,,,,,,,
,,,,,,,,,
Code,Libellé,,,,,,,,
PPRN-I,"PPRN Inondation",,,,,,,,
PPRN-L,"PPRN Littoral",,,,,,,,
PPRN-Mvt,"PPRN Mouvement de terrain",,,,,,,,
PPRN-Multi,"PPRN Multi",,,,,,,,
PPRN-S,"PPRN Séisme",,,,,,,,
PPRN-Av,"PPRN Avalanche",,,,,,,,
PPRN-Ev,"PPRN Eruption Volcanique",,,,,,,,
PPRN-If,"PPRN Incendie de Forêt",,,,,,,,
PPRN-Cy,"PPRN Cyclone",,,,,,,,
PPRN-Rad,"PPRN Radon",,,,,,,,
PPRT,"PPR Technologique",,,,,,,,
PPRM,"PPR Miniers",,,,,,,,
TRI,"Territoires à Risques d'Inondation",,,,,,,,
PaC-hors-PPR-et-TRI,"Porter à Connaissance (hors PPR et TRI)","Nb GASPAR à aligner",,,,,,,
,,,,,,,,,
TypeAlea,,,,,,,,,
"Reprise des codes GASPAR pour les types d'aléas (uniquement les niveaux les plus élevés applicables)",,,,,,,,,
,,,,,,,,,
code,Libellé,,,,,,,,
112,"Risque naturel ; Inondation ; Par une Crue à débordement lent de cours d'eau",,,,,,,,
